0,1,2,3,4,5,6,7,8,9,10
0,0,1,3,36,56,2,0,0,0,0
1,0,2,25,293,354,16,0,0,0,0
0,0,0,2,52,72,7,0,0,0,0
0,0,1,3,78,51,4,0,0,0,0
0,1,3,18,136,189,10,1,0,0,0
0,0,0,5,35,43,1,0,0,0,0
0,0,3,4,124,131,10,0,0,0,0
0,1,0,6,71,49,1,0,0,0,0
0,0,2,4,24,24,2,0,0,0,0
0,0,0,6,127,108,11,1,0,0,0
0,1,2,18,110,167,9,0,0,0,0
0,0,2,5,66,52,5,0,0,0,0
0,0,0,4,37,44,7,0,0,0,0
0,0,3,10,54,55,7,0,0,0,0
0,0,2,14,76,64,6,0,0,0,0
0,0,1,3,48,63,8,1,0,0,0
0,0,1,1,19,34,0,0,0,0,0
0,0,0,1,38,33,1,0,0,0,0
0,0,0,5,67,44,3,0,0,0,0
0,0,0,2,59,98,3,0,0,0,0
0,1,1,1,4,9,0,0,0,0,0
0,0,2,8,137,115,73,0,0,0,0
0,0,0,4,78,90,1,0,0,0,0
0,0,1,6,55,73,7,0,0,0,0
0,0,3,4,39,42,6,0,0,0,0
0,0,2,14,300,406,24,2,0,0,0
0,1,4,8,86,93,3,0,0,0,0
0,0,1,3,62,90,6,0,0,0,0
0,0,3,7,179,225,16,1,0,0,0
0,0,2,5,92,103,12,0,0,0,0
0,0,2,1,45,47,2,0,0,0,0
0,0,3,2,97,144,11,0,0,0,0
0,0,3,6,120,118,16,0,0,0,0
0,0,5,7,73,52,0,0,0,0,0
0,0,4,9,184,229,19,1,0,0,0
0,0,3,8,139,136,7,0,0,0,0
0,0,3,6,90,97,6,0,0,0,0
0,0,1,5,58,67,1,0,0,0,0
0,0,3,16,85,102,5,0,0,0,0
0,1,4,4,52,39,8,0,0,0,0
0,0,2,6,74,74,11,0,0,0,0
0,0,1,5,40,50,6,0,0,0,0
0,0,0,4,45,57,0,0,0,0,0
0,1,2,3,88,86,12,1,0,0,0
0,0,1,7,142,142,11,0,0,0,0
0,0,2,4,96,122,16,0,0,0,0
0,0,3,24,276,334,10,0,0,0,0
0,0,1,3,110,82,8,1,0,0,0
0,1,2,10,162,133,19,0,0,0,0
0,0,0,3,35,65,2,0,0,0,0
0,0,1,1,47,56,1,0,0,0,0
0,0,3,7,57,77,1,0,0,0,0
0,1,1,2,63,77,5,0,0,0,0
0,0,5,19,287,295,13,0,0,0,0
0,0,1,4,63,82,14,0,0,0,0
0,1,0,3,47,101,9,0,0,0,0
0,0,1,12,67,69,4,0,0,0,0
0,0,0,2,89,82,4,0,0,0,0
0,0,1,5,47,104,6,0,0,0,0
0,0,2,1,47,100,3,1,0,0,0
0,0,4,4,62,66,4,1,0,0,0
0,0,3,1,126,144,7,0,0,0,0
0,0,0,4,87,76,0,0,0,0,0
0,0,2,17,405,417,27,0,0,0,0
0,0,1,5,52,65,4,0,0,0,0
0,0,0,0,47,92,2,0,0,0,0
0,0,0,1,70,81,2,0,0,0,0
0,0,1,4,45,56,3,0,0,0,0
0,0,3,7,40,67,1,0,0,0,0
0,1,5,5,87,60,4,0,0,0,0
0,0,2,4,70,55,2,0,0,0,0
0,0,2,4,61,74,2,0,0,0,0
0,0,1,6,19,21,2,0,0,0,0
0,0,1,2,67,50,11,0,0,0,0
0,0,7,12,409,421,23,0,0,0,0
0,0,1,1,58,78,7,0,0,0,0
0,0,4,11,147,145,12,1,0,0,0
0,0,10,11,198,163,11,0,0,0,0
0,0,1,3,26,62,6,0,0,0,0
0,0,2,7,114,150,14,1,0,0,0
0,0,0,5,87,118,8,0,0,0,0
0,0,6,15,118,162,11,0,0,0,0
0,0,0,1,10,28,1,0,0,0,0
0,1,1,6,98,58,4,0,0,0,0
0,0,1,3,98,138,14,1,0,0,0
0,0,3,10,166,182,10,0,0,0,0
0,0,2,6,42,67,1,0,0,0,0
0,0,11,22,186,252,21,1,0,1,0
0,1,2,11,94,88,9,0,0,0,0
0,0,0,3,62,51,2,0,0,0,0
0,0,0,9,57,51,1,0,0,0,0
0,0,0,5,57,88,0,0,0,0,0
0,0,3,6,38,34,0,0,0,0,0
0,0,0,1,99,101,5,1,0,0,0
0,0,1,4,50,34,1,0,0,0,0
0,1,0,4,14,30,0,0,0,0,0
0,0,0,0,27,47,6,0,0,0,0
0,0,3,6,82,55,0,0,0,0,0
0,0,10,23,265,318,30,1,1,0,0
0,1,1,6,51,51,7,0,0,0,0
0,0,4,9,72,42,6,0,0,0,0
0,0,2,6,65,44,3,0,0,0,0
0,0,1,14,147,144,8,0,0,0,0
0,0,1,4,108,60,7,0,0,0,0
0,2,3,1,92,76,0,0,0,0,0
0,0,4,10,95,67,10,0,0,0,0
0,0,3,7,51,53,1,0,0,0,0
0,0,2,10,116,64,8,0,0,0,0
0,0,1,8,49,31,9,0,0,0,0
0,1,1,7,67,53,0,0,0,0,0
0,1,1,7,112,124,6,0,0,0,0
0,0,2,2,52,50,6,0,0,0,0
0,0,0,1,47,36,13,0,0,0,0
0,0,5,6,105,51,10,1,0,0,0
0,1,11,7,110,84,8,0,0,0,0
0,0,2,10,126,115,6,0,0,0,0
0,1,7,11,130,120,8,0,0,0,0
0,1,5,21,191,163,11,0,0,0,0
0,0,1,11,110,102,1,0,0,0,0
0,0,1,8,88,71,10,0,0,0,0
0,0,10,23,265,318,30,1,1,0,0
0,0,8,7,63,57,6,0,0,0,0
0,0,2,9,79,72,8,0,0,0,0
0,1,5,9,110,81,4,0,0,0,0
0,0,2,12,70,76,1,0,0,0,0
0,0,6,9,72,123,7,1,0,0,0
0,0,5,5,71,65,0,0,0,0,0
0,0,2,10,52,55,6,0,0,0,0
0,1,1,2,66,43,6,0,0,0,0
0,0,1,3,49,32,12,0,0,0,0
0,0,4,5,94,50,6,0,0,0,0
0,0,0,0,14,25,3,0,0,0,0
0,0,1,7,57,53,5,0,0,0,0
0,0,2,9,77,74,0,0,0,0,0
0,0,2,5,53,75,2,0,0,0,0
0,0,0,4,27,45,3,0,0,0,0
0,0,0,2,84,95,3,0,0,0,0
0,0,1,7,188,281,28,1,0,0,0
0,0,6,4,63,52,0,0,0,0,0
0,0,1,16,262,246,21,0,0,0,0
0,0,7,17,167,296,18,0,0,0,0
0,0,2,6,68,66,1,0,0,0,0
0,2,3,6,166,147,10,0,0,0,0
0,2,5,9,85,62,0,0,0,0,0
0,0,1,4,61,53,9,0,0,0,0
0,0,2,8,112,137,2,0,0,0,0
0,0,1,7,65,63,4,0,0,0,0
0,0,5,9,121,119,13,0,0,0,0
0,0,3,11,47,55,8,0,0,0,0
0,0,5,5,103,101,8,0,0,0,0
0,0,1,10,81,54,0,0,0,0,0
0,1,1,11,88,82,1,0,0,0,0
0,0,0,2,74,68,8,0,1,0,0
0,0,0,3,78,86,4,0,0,0,0
0,0,1,4,86,98,2,0,0,0,0
0,0,0,5,82,67,5,0,0,0,0
0,0,2,2,46,33,15,0,0,0,0
0,0,0,7,145,191,7,0,0,0,0
0,1,13,18,214,238,13,0,0,0,0
0,1,6,10,57,56,12,0,0,0,0
0,0,1,9,73,79,1,0,0,0,0
0,0,1,2,52,47,0,0,0,0,0
0,0,4,13,77,65,3,0,0,0,0
0,0,2,2,55,36,6,0,0,0,0
0,0,6,25,279,282,11,0,0,0,0
0,2,3,3,137,124,10,0,0,0,0
0,0,0,4,46,40,9,0,0,0,0
0,0,0,6,58,53,0,0,0,0,0
0,0,3,10,190,273,6,0,0,0,0
0,0,1,1,35,32,0,0,0,0,0
0,0,0,1,94,96,3,0,0,0,0
0,1,2,7,67,44,2,0,0,0,0
0,0,1,3,126,154,15,0,0,0,0
0,0,2,2,62,42,0,0,0,0,0
0,0,0,5,93,79,1,0,0,0,0
0,0,1,2,78,86,19,0,0,0,0
0,0,4,26,309,312,23,1,0,0,0
0,0,4,6,48,26,2,0,0,0,0
0,0,0,4,68,85,4,0,0,0,0
0,0,2,3,61,64,2,0,0,0,0
0,0,1,3,114,145,10,0,0,1,0
0,0,0,1,57,99,7,0,0,0,0
0,0,0,1,69,53,1,0,0,0,0
0,0,2,14,141,162,12,0,0,0,0
0,0,0,4,111,121,3,0,0,0,0
0,0,1,2,30,23,0,0,0,0,0
0,0,0,0,32,18,0,0,0,0,0
0,0,0,2,95,108,7,0,0,0,0
0,0,2,7,72,67,3,0,0,0,0
0,0,4,9,117,153,10,1,0,0,0
0,0,0,7,73,78,6,1,0,0,0
0,0,2,7,86,53,2,0,0,0,0
0,0,3,6,81,96,0,0,0,0,0
0,0,0,2,41,46,5,0,0,0,0
0,0,1,3,156,124,18,0,0,0,0
0,0,5,23,237,261,21,1,0,0,0
0,0,2,2,16,25,0,0,0,0,0
0,0,1,3,39,37,0,0,0,0,0
0,0,2,1,43,50,1,0,0,0,0
0,0,1,5,78,66,3,0,0,0,0
0,0,2,1,43,50,1,0,0,0,0
0,0,0,1,66,112,1,1,0,0,0
0,1,1,3,61,64,6,0,0,0,0
0,0,2,3,59,59,3,0,0,0,0
0,0,0,2,57,54,0,0,0,0,0
0,1,1,2,49,51,0,0,0,0,0
0,0,3,4,66,85,4,0,0,0,0
0,2,3,1,45,41,1,0,0,0,0
0,0,4,9,122,129,20,1,0,0,0
0,0,1,4,46,50,2,0,0,0,0
0,0,3,13,94,96,6,1,0,0,0
0,0,0,1,43,41,2,0,0,0,0
0,0,2,4,26,27,4,0,0,0,0
0,0,1,1,49,50,0,0,0,0,0
0,0,0,2,90,135,1,0,0,0,0
0,0,0,4,69,105,1,0,0,0,0
0,0,1,3,68,53,2,0,0,0,0
0,0,3,5,39,36,8,0,0,1,0
0,1,4,19,149,165,10,0,0,0,0
0,0,1,1,12,27,1,0,0,0,0
0,1,1,4,24,13,0,0,0,0,0
0,0,2,4,101,106,9,0,0,0,0
0,0,3,15,88,97,10,0,0,0,0
0,0,0,3,17,30,2,0,0,0,0
0,0,0,4,33,52,3,0,0,0,0
0,0,1,12,132,151,11,0,0,0,0
0,0,3,15,155,99,2,0,0,0,0
0,1,2,2,76,65,1,0,0,0,0
0,0,1,6,87,76,6,0,0,0,0
0,0,0,5,60,88,0,0,0,0,0
0,0,0,1,65,98,8,0,0,0,0
0,0,1,10,93,116,0,1,0,0,0
0,0,4,15,115,130,5,0,0,0,0
0,1,7,15,178,201,7,0,0,0,0
0,0,0,3,59,85,7,0,0,0,0
0,0,0,4,79,60,3,0,0,0,0
0,0,0,12,209,196,4,1,0,0,0
0,0,0,6,108,75,3,0,0,0,0
0,0,0,5,53,93,5,0,0,0,0
0,0,6,14,81,77,10,0,0,0,0
